Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Drink_Driving,Involving_Driver_Speed,Involving_Fatigued_Driver,Involving_Defective_Vehicle,Count_Crashes,Count_Fatality,Count_Hospitalised,Count_Medically_Treated,Count_Minor_Injury,Count_All_Casualties
2001,Brisbane,Fatal,No,No,No,No,31,31,8,6,2,47
2001,Brisbane,Fatal,No,No,No,Yes,1,1,0,0,0,1
2001,Brisbane,Fatal,No,Yes,No,No,8,8,5,0,0,13
2001,Brisbane,Fatal,Yes,No,No,No,2,2,0,0,0,2
2001,Brisbane,Fatal,Yes,No,No,Yes,1,1,3,0,0,4
2001,Brisbane,Fatal,Yes,Yes,No,No,7,9,5,0,0,14
2001,Brisbane,Hospitalisation,No,No,No,No,1019,0,1161,110,72,1343
2001,Brisbane,Hospitalisation,No,No,No,Yes,14,0,15,1,0,16
2001,Brisbane,Hospitalisation,No,No,Yes,No,22,0,29,2,0,31
2001,Brisbane,Hospitalisation,No,Yes,No,No,40,0,51,9,8,68
2001,Brisbane,Hospitalisation,No,Yes,No,Yes,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,No,Yes,Yes,No,2,0,2,0,0,2
2001,Brisbane,Hospitalisation,Yes,No,No,No,72,0,95,14,5,114
2001,Brisbane,Hospitalisation,Yes,No,No,Yes,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,5,0,5,0,0,5
2001,Brisbane,Hospitalisation,Yes,Yes,No,No,12,0,17,2,0,19
2001,Brisbane,Medical treatment,No,No,No,No,2035,0,0,2393,138,2531
2001,Brisbane,Medical treatment,No,No,No,Yes,29,0,0,33,0,33
2001,Brisbane,Medical treatment,No,No,Yes,No,10,0,0,11,1,12
2001,Brisbane,Medical treatment,No,Yes,No,No,42,0,0,54,3,57
2001,Brisbane,Medical treatment,No,Yes,No,Yes,1,0,0,4,0,4
2001,Brisbane,Medical treatment,Yes,No,No,No,56,0,0,67,2,69
2001,Brisbane,Medical treatment,Yes,No,No,Yes,2,0,0,2,1,3
2001,Brisbane,Medical treatment,Yes,Yes,No,No,8,0,0,12,0,12
2001,Brisbane,Minor injury,No,No,No,No,1346,0,0,0,1608,1608
2001,Brisbane,Minor injury,No,No,No,Yes,21,0,0,0,22,22
2001,Brisbane,Minor injury,No,No,Yes,No,7,0,0,0,7,7
2001,Brisbane,Minor injury,No,Yes,No,No,27,0,0,0,32,32
2001,Brisbane,Minor injury,No,Yes,No,Yes,3,0,0,0,3,3
2001,Brisbane,Minor injury,Yes,No,No,No,28,0,0,0,31,31
2001,Brisbane,Minor injury,Yes,No,No,Yes,1,0,0,0,2,2
2001,Brisbane,Minor injury,Yes,No,Yes,No,1,0,0,0,1,1
2001,Brisbane,Minor injury,Yes,Yes,No,No,1,0,0,0,1,1
2001,Brisbane,Minor injury,Yes,Yes,No,Yes,1,0,0,0,1,1
2001,Brisbane,Property damage only,No,No,No,No,2107,0,0,0,0,0
2001,Brisbane,Property damage only,No,No,No,Yes,61,0,0,0,0,0
